word,weight
cookies,1
cooking,1
cool,5
cooper,2
cope,1
copes,1
copper,1
core,3
corn,4
corner,3
corners,1
coronary,2
corporation,2
corporations,2
corps,18
correct,2
correctness,1
cosby,2
cost,11
costing,1
costs,6
coul,1
could,108
counties,3
counting,1
countries,13
country,56
county,13
couple,23
course,57
courses,3
court,3
cousin,3
cover,4
coverage,5
covered,4
covering,1
covers,1
crack,1
cranberry,1
crawfish,1
crawl,1
crazier,1
crazy,3
create,2
creates,1
creative,2
creativity,1
creature,1
credits,1
creek,4
creole,1
creosote,2
crickets,1
crime,19
crimes,9
criminal,2
criminals,4
crisis,3
critical,1
critters,1
croak,1
crooks,2
cross,3
cross-pollination,1
crowd,3
crude,1
cruel,2
cry,2
crying,1
cubic,2
cucumbers,3
cuisine,1
cuisines,1
culinary,1
cultural,2
culture,5
cultures,2
cup,2
cured,1
curiosity,2
curly,1
current,3
currently,5
curried,1
curry,3
curse,4
cut,14
cute,3
cuts,1
cutting,3
cycle,2
cynical,1
d,10
dad,18
daddy,4
dakota,1
dallas,13
damn,1
dancers,1
dangerous,1
darn,2
dash,1
data,1
daughter,12
daughter-in-law,1
daughters,2
david,1
day,56
dayers,1
days,16
de,2
dead,1
deal,4
dealing,1
dealings,1
dealt,1
dear,2
death,11
debate,1
debt,2
debts,1
decent,1
decide,5
decided,7
decides,1
decision,10
decisive,1
declare,1
decreasing,1
dedicated,2
deduce,1
deductible,2
deduction,2
deep,3
deer,2
defeated,1
defense,2
deficit,1
defined,1
definite,2
definitely,20
definition,2
degree,9
degrees,2
delay,1
delayed,4
delays,1
delivering,1
demanded,1
demanding,1
demeanor,1
demilitarize,1
democracy,1
denied,1
dental,3
denton,1
department,1
depend,2
dependent,1
depends,6
describe,1
description,1
desert,1
deserts,1
deserve,1
design,1
designing,1
designs,1
desire,1
despise,2
despite,1
desserts,1
destroyed,1
destruction,1
detectors,1
deter,1
determination,1
determine,4
determined,1
deterrent,2
develop,1
developed,4
development,2
devon,3
di,1
diagnostic,1
diagnostics,1
did,163
die,1
died,2
dies,1
diet,4
diets,1
difference,8
differences,2
different,47
differently,3
differing,1
difficult,7
difficulties,1
difficulty,1
dig,2
digging,2
dining,1
dinner,4
direction,5
directions,1
directly,1
directors,1
dirt,3
dirty,1
disagree,4
disagreeing,1
disappeared,1
discipline,2
discouraged,1
discovered,1
discretionary,1
discuss,2
discussed,2
discussing,2
discussion,1
disease,1
disgust,1
disgusting,3
disk,1
disney,6
display,3
disposition,1
disproportionate,1
dispute,1
disrupted,1
district,5
disturbed,1
disturbing,1
ditches,1
diversion,1
dividend,1
division,6
do,813
dock,1
doctor,5
doctorate,2
doctors,3
document,1
documentary,1
doe,1
does,58
dog,13
dogs,4
doing,78
dollar,6
dollars,19
donate,1
done,37
door,5
doors,3
dorm,2
doubt,3
down,63
downhill,1
downstream,2
downtown,3
dr,6
drafting,1
dragging,1
drain,3
drama,1
draw,4
dreamed,1
dreams,1
drinking,2
drive,8
driving,3
drop,1
dropped,3
dropping,2
drove,2
drug,7
drugs,7
dry,1
dubious,1
due,1
dumas,1
dumb,3
during,15
duty,1
dwell,2
e,5
each,20
ear,2
earlier,2
early,4
earn,4
ears,1
earth,2
ease,1
easier,1
easiest,1
easily,3
east,6
easter,2
eastern,2
easy,6
eat,23
eaten,2
eating,7
eats,4
echelon,1
echoes,1
economic,2
economics,1
economy,6
ed,1
edge,2
editing,1
educated,2
education,30
educational,4
effects,1
efficiently,1
effort,3
eight,9
eighteen,4
eighth,4
eighties,1
eighty-five,2
eighty-four,1
eighty-nine,2
eighty-seven,2
eighty-six,2
eighty-three,2
either,27
el,3
elderly,9
elected,2
electing,1
election,2
electric,2
electrocution,1
electronic,1
electronics,2
element,1
elementary,2
elevation,1
eleven,5
eleventh,1
eligible,1
eliminate,1
eliminated,1
else,44
elsewhere,1
emotion,1
emotional,3
emotionally,2
emphasis,1
emphasize,1
emphasized,1
empire,1
employed,1
employee,1
employees,2
employers,1
employment,2
enclaves,1
encourage,2
encouraged,3
encyclopedias,1
end,20
ended,10
ends,3
endurance,1
engine,4
engineer,1
engineers,2
engines,1
england,3
english,6
enjoy,7
enjoyed,7
enjoying,1
enjoyment,1
enjoys,1
enormous,1
enough,25
enter,1
entered,1
entertainment,2
entire,3
entirely,2
entities,1
entry,1
envious,1
environment,7
environmental,1
epileptics,1
equal,1
error,1
escape,1
especially,19
essentially,2
establishment,1
esteem,1
ethnic,1
europe,3
european,1
evaluate,3
evaluations,1
evaporator,1
even,87
evening,2
evenings,2
eventually,6
ever,34
every,47
everybody,25
everyday,3
everyone,13
everything,42
everywhere,1
evidence,3
evidently,1
evils,1
evokes,1
ex-school,1
exact,2
exactly,37
examine,1
example,1
examples,1
exams,1
excel,1
excellent,1
except,9
excepted,1
excesses,1
excessively,1
exchange,2
excited,2
exclusive,1
excuse,6
execute,1
exempt,2
exempts,2
exercise,7
exhausted,1
exist,2
exists,2
expanded,1
expect,4
expectations,1
expecting,2
expenditures,1
expenses,2
expensive,7
experience,18
experiences,3
experimenting,2
experiments,2
expertise,1
explain,1
explaining,1
exploiting,2
exploration,1
explore,1
exposed,4
exposure,3
express,1
expressing,1
expression,3
extend,1
extended,2
extensively,1
extent,4
extra,6
extraordinary,1
extras,5
extreme,1
extremely,2
extremes,2
eye,3
eye-opening,1
eyes,1
f,3
face,1
facets,1
facilities,3
facility,1
fact,28
factor,3
factories,1
factors,3
facts,1
faculty,2
fail,1
failed,1
fair,3
fairly,6
fairness,1
fairs,1
faith,2
faiths,1
fake,1
fall,3
fallen,1
falling,1
falls,1
falsely,1
familiar,4
families,4
family,38
famous,1
fan,1
fancy,1
fanny,2
fantastic,1
far,29
fare,2
farm,5
fart,1
fashioned,3
fast,3
fat,4
father,8
fathers,2
fault,6
favor,7
favorite,1
favorites,1
favors,1
fear,3
fed,1
federal,4
federalized,1
feed,3
feeding,1
feel,53
feeling,12
feelings,3
feels,2
fees,1
feet,2
fellow,1
felt,5
female,3
fence,2
fences,1
fertilize,1
fertilizer,1
fetus,1
few,31
fi,1
fiber,2
fiddle,1
field,3
fifteen,5
fifties,2
fifty,8
fifty-five,3
fifty-nine,1
fifty-one,4
fifty-three,1
fight,10
fighting,2
fights,1
figure,8
figured,5
figures,1
figuring,1
file,1
films,3
filter,2
filters,2
filthy,3
final,1
finally,11
financial,2
financially,2
find,26
finding,2
fine,8
fines,2
fingers,2
finland,2
fire,7
firm,1
first,46
first-rate,1
fish,13
fisherman,1
fishing,16
fit,2
fitness,2
fits,3
fittings,1
five,29
fix,6
fixed,7
fixes,1
fixing,2
flag,18
flags,3
flatter,1
flaunt,1
flavor,3
flexibility,1
flexible,1
flied,1
flip,1
floor,2
floored,1
floors,1
florida,9
flour,2
flower,9
flowers,1
flowery,1
flunk,1
fly,8
foamy,1
focus,2
folds,1
folks,3
follow,2
following,1
fond,1
food,21
foolish,1
foot,3
football,2
for,395
forbid,1
force,13
forced,4
forcing,1
fords,2
foreign,4
foreigner,1
forever,1
forget,8
forgot,1
forgotten,1
form,2
forms,3
formula,3
fort,1
forth,8
fortunate,2
fortunately,2
forty,5
forty-nine,1
forty-one,1
forward,4
fostered,1
fought,1
found,10
foundation,2
four,25
fourteen,4
fourth,5
fr,1
fractiousness,1
framed,1
framers,3
framing,1
franchised,2
frankly,1
freak,1
free,5
freedom,13
freer,2
freeze,3
french,10
frenchman,1
frequently,3
fresh,3
freshmen,1
friday,3
fried,2
friend,4
friendly,2
friends,20
fries,1
from,133
front,3
froth,1
froze,1
frozen,5
fruit,1
frustrated,1
fry,8
full,9
full-fledged,1
full-time,3
fun,28
functionally,1
functioning,1
functions,1
fund,1
funding,2
funniness,1
funny,22
further,2
fuse,1
fuss,1
future,5
fuzzy,3
g,3
gag,1
gags,1
gain,1
galveston,1
game,3
games,1
gang,1
gangs,1
gap,1
garage,1
garbage,1
garden,10
gardener,1
gardening,3
gardens,3
garlic,1
gas,1
gasoline,1
gave,3
gear,1
gee,12
general,5
generally,2
generation,6
genre,3
genuine,2
geographical,1
germany,2
get,213
gets,15
getting,42
gibbons,1
gift,1
gin,3
ginger,1
gingerly,1
girl,9
girls,7
give,27
given,3
gives,4
giving,4
glad,4
glaze,1
gloves,1
go,168
goal,3
god,12
goes,24
goi,1
going,174
gold,1
golly,3
gone,23
good,134
good-bye,3
goodness,4
gosh,5
got,165
gotten,18
government,18
governments,2
governor,1
grab,1
grade,11
grades,2
grads,2
graduate,10
graduated,5
graduates,3
graduating,1
grammar,1
grand,1
grandma,2
grandmother,4
grandpa,1
granted,1
grass,1
gravy,1
gray,2
great,44
greek,1
green,5
greenhouse,2
greeting,1
grew,4
grilled,1
groceries,1
grocery,2
ground,2
groundhogs,1
group,9
groups,9
grow,11
growing,10
grown,1
grows,1
grub,3
guarantee,4
guess,141
guilt,2
guilty,21
gulf,5
gun,10
guy,20
guys,12
h,7
ha,2
habitats,1
habits,1
had,210
hair,2
haired,1
hairs,1
half,14
hallmark,1
halls,1
ham,1
hamburgers,1
hamilton,1
hand,14
handbook,1
handicapped,1
handing,1
handle,3
handled,1
hands,3
hang,4
hanging,2
happ,1
happen,12
happened,6
happening,2
happens,18
happy,6
hard,29
hard-core,1
harder,1
hardest,1
hardly,1
harm,1
has,146
hat,1
hate,12
hatred,1
have,892
having,39
he,197
head,14
heads,2
health,12
healthier,2
healthy,2
hear,18
heard,30
hearing,7
heart,7
hearts,1
heat,2
heater,3
heating,1
heaven,1
heavier,1
heavily,2
heavy,2
heck,5
held,4
hell,3
help,18
helped,4
helping,7
helpless,1
helps,6
hence,1
her,68
here,88
heritage,3
herself,1
hey,7
hi,1
high,43
higher,3
highest,1
highly,2
highway,2
highways,1
hill,1
hillside,1
hilly,2
hilt,1
him,33
himalayan,2
himie,4
hinders,1
hindquarters,1
hire,2
hired,6
hires,2
his,41
hispanic,3
historical,2
historically,1
history,4
hit,7
hits,1
hitting,1
hm,2
ho,1
hobbies,3
hobby,5
hoe,1
hold,4
holding,4
holdouts,1
hollering,1
hollywood,2
home,64
homes,2
homework,2
homey,1
honestly,3
honey,1
honor,2
hood,2
hook,1
hooked,1
hope,22
hoped,1
hoping,2
horrendous,1
horrible,3
horror,2
hose,1
hoses,3
hot,12
hotel,1
hotels,2
hour,6
hours,15
house,30
housekeeper,2
houses,2
housewife,2
housing,5
houston,1
how,128
however,1
hub,1
hug,2
huge,4
huh,33
huh-uh,38
human,8
humane,1
humanity,1
hundred,16
hundreds,2
hung,1
hungary,1
hungry,2
hunt,1
hunting,4
hurt,1
hurting,1
husband,16
hussein,5
hypercritical,1
i,3097
idea,22
ideals,1
ideas,4
identi,1
identified,1
idiots,1
if,341
ignorance,1
ignorant,1
illegal,3
illinois,1
illnesses,1
ima,1
image,1
imagination,1
imagine,10
imitating,1
immediate,2
impact,2
implement,1
implications,1
import,1
importance,1
important,16
imposed,2
impossible,2
impressed,1
improve,3
improved,1
improvement,1
in,841
inability,1
inactivity,1
inbreeding,1
incentive,1
inception,1
inch,3
incidence,1
incidences,1
incidental,1
inclined,1
included,1
includes,1
including,2
income,17
inconvenient,1
incorporate,1
increase,1
increased,2
increasing,1
incredible,1
incredibly,1
incur,1
independence,2
independent,1
independently,1
india,1
indian,4
indiana,2
indica,1
indicate,1
indicated,1
indications,1
indirectly,1
individual,3
individually,3
individuals,2
indoors,2
industrial,2
industry,1
inefficient,1
inevitable,1
inferior,1
influence,4
influences,2
information,3
ingest,1
ingesting,2
ingestion,2
inhabitants,1
inhabiting,1
injection,2
injured,3
injustice,1
inmates,1
inner,3
innocence,3
innocent,5
innovative,2
innovator,1
inoculation,1
input,1
inquisitive,1
insects,1
inside,9
inspect,2
inspection,2
inspector,1
inspects,1
instance,8
instead,12
instill,1
institute,1
institution,3
institutions,2
instructor,2
instructors,3
instruments,2
insurance,28
intake,1
intellectual,2
intelligent,4
intend,1
intent,1
intentionally,1
interaction,1
interest,3
interested,11
interesting,33
interface,1
international,5
interstate,1
interview,2
intimidated,2
intimidating,1
into,61
inundated,1
invaded,1
invasion,1
invest,2
investing,1
investment,1
invite,1
inviting,1
involved,7
involvement,1
involving,1
invu,1
invulnerable,1
iran,2
iraq,9
iraqi,2
iraqis,1
irate,1
ironsides,1
is,1699
island,1
israel,1
issue,4
issues,2
it,1670
items,1
its,11
itself,5
jack,1
jail,11
jailed,1
jamaican,1
janitors,1
japan,2
jay,1
jean,3
jeez,6
jenny,1
jerry,2
jim,1
jimmy,1
job,53
jobs,5
joe,1
join,1
joined,1
joining,1
jokes,2
joseph,1
judge,9
judicial,1
july,1
jump,4
jumped,1
jumping,1
june,1
jungle,1
juniors,1
junk,3
juries,1
juror,1
jurors,1
jury,33
just,454
justice,2
justified,2
justify,1
kathy,1
kee,1
keep,23
keepers,1
keeping,4
keeps,2
keeshonden,1
kennedy,1
kenneth,1
kept,4
kevin,1
keyboard,1
kick,4
kid,19
kidding,2
kids,70
kiesters,1
kill,5
killed,9
killers,1
kind,131
kindergartners,1
kinds,13
kiss,1
kitchen,2
kittens,5
knees,1
knew,15
kno,1
knock,3
know,1110
knowing,5
knowledge,3
knowledgeable,1
known,7
knows,12
korea,4
kurds,1
kuwait,7
kuwaiti,5
kuwaitis,1
l,3
lab,1
labor,7
laboratory,1
laborer,1
labs,2
lacking,1
lady,2
laid,3
lake,4
lakes,1
land,6
landlord,1
landscape,2
landscaping,2
language,9
lanky,1
large,13
larger,1
largest,1
last,35
lasted,2
lasting,1
late,4
lately,4
later,6
latin,6
latter,1
laugh,2
law,9
lawn,4
laws,5
lawyer,7
lawyers,8
lay,1
layers,1
laying,2
layoff,2
lazy,2
lead,1
leaders,1
leadership,1
leaking,1
lean,1
leaning,1
learn,17
learned,6
learning,3
leash,2
least,24
leave,10
leaves,2
lebanon,1
led,1
left,12
leftover,1
leg,1
legal,3
legally,5
legitimate,3
legs,1
length,2
leno,1
less,18
lessening,1
lesser,2
lesson,1
let,42
lethal,2
letter,2
letterman,1
letters,1
letting,3
level,4
levels,2
lewis,2
li,1
liars,3
liberal,6
liberalism,1
liberals,1
libya,1
license,2
licensed,1
lies,1
lieutenant,1
life,42
lift,1
lifting,1
light,5
like,447
liked,3
likely,2
likes,4
likewise,2
lilac,4
limb,1
limbs,1
limit,2
limited,1
lincolns,1
line,18
lines,3
lips,1
list,4
listen,4
listened,1
listening,4
lists,1
lithuania,1
litter,4
little,118
littleton,1
live,48
lived,15
lives,13
living,15
loaf,1
loan,2
loans,4
lobby,1
lobster,3
lobsters,1
local,7
location,1
locations,1
lock,1
locked,1
locus,2
lodging,1
logical,1
logically,2
lonely,1
long,40
long-distance,1
longer,4
look,29
looked,3
looking,16
looks,7
loop,1
loose,3
los,1
lose,10
losing,2
loss,1
lost,12
lot,224
lots,5
loudly,1
louisiana,3
lovable,1
love,14
loved,1
lovely,1
low,4
lowe,1
lowest,1
lubbock,5
luck,11
lucked,1
lucky,3
lucrative,3
lumber,1
lump,1
lunch,3
lure,3
lures,1
luxuries,2
lying,1
lynched,1
m,13
machine,2
mad,1
made,23
madman,1
magazine,1
magic,1
mail,4
main,4
maine,3
mainly,2
maintain,3
major,11
majority,5
majors,1
make,80
makes,17
making,11
male,1
mall,3
malls,2
man,19
manage,1
managing,2
mandatory,2
mannerisms,1
manners,1
many,54
marcos,1
marginal,1
mark,1
market,1
marketing,2
markets,1
marriage,3
marriages,1
married,16
marry,1
martini,1
maryland,22
massachusetts,1
masses,1
master,6
masters,3
match,1
material,1
materials,1
mates,1
math,2
matter,18
mattered,1
mature,3
mavericks,1
may,21
maybe,58
mcdonald,2
me,111
meal,5
mean,198
meaning,1
means,5
meant,3
measure,1
meat,8
mechanic,1
mechanics,2
median,1
medical,9
medicine,7
medicines,1
medium,2
meet,2
meets,1
melt,1
melting,2
member,1
members,2
memorable,2
men,7
mental,1
mentally,1
mention,1
mentioned,1
mesa,1
mesh,1
mess,5
messages,1
met,1
mexican,6
mexicans,4
mexico,8
mice,1
michigan,1
micro,1
middle,13
midland,2
might,27
mild,1
mile,2
miles,7
military,13
mill,1
million,3
mind,8
minded,1
minds,2
mine,11
miniature,3
minimum,6
minor,3
minute,5
minutes,9
miscarriage,1
miss,9
missed,2
misses,1
missing,3
missionary,1
mississippi,2
mistake,2
mistakes,1
mistreat,1
mitzi,2
mix,2
mixed,4
model,3
modified,1
mom,13
moment,2
moments,1
monetary,2
money,63
moneymaking,1
monies,2
monster,1
montgomery,1
month,11
months,21
moon,1
morally,1
more,135
mormon,1
morning,12
mornings,2
moscow,1
mosquito,1
most,47
mostly,12
mother,11
mothers,2
motion,1
motivated,1
motor,1
mountain,1
mountains,10
mouths,1
move,5
moved,17
movement,2
movie,18
movies,23
moving,1
mow,1
much,114
multicultural,1
multiplying,1
multiracial,1
murder,7
murders,2
murphy,2
muscles,1
mushrooms,1
musicals,1
must,16
mustang,1
mutant,6
mutt,1
mutually,1
my,268
myself,13
myth,2
myths,1
n,9
nailed,1
naive,1
name,10
names,2
nation,3
national,3
nationality,1
nationalized,1
nationally,1
nations,2
nationwide,1
native,2
natives,1
nature,5
navy,1
near,8
neat,9
neatest,1
necessarily,4
necessary,2
necessities,1
necessity,2
neck,1
need,41
needed,10
needing,1
needs,15
negative,2
neglect,2
neglected,1
negotiations,1
neighbor,4
neighborhood,1
neighbors,4
neither,3
nest,1
net,1
neurosurgeon,1
neutral,1
never,100
nevertheless,2
new,38
news,5
newspaper,2
newspapers,2
nex,1
next,21
nice,44
niceness,1
night,16
nightline,1
nights,3
nine,10
nineteen,6
nineteen-hundred,1
nineteen-thirteen,1
nineteen-three,1
nineteen-twenty,1
ninety,2
ninety-eight,2
ninety-five,2
ninety-nine,1
ninety-one,1
ninja,3
ninth,1
no,164
nobody,7
nod,1
noise,2
noises,1
non,1
nonaggressor,1
nonconventional,1
none,3
nonexempt,1
nonexempts,1
nonhuman,1
nope,2
norm,1
normal,2
normally,7
norman,2
north,17
northern,4
nose,1
not,1082
notch,1
note,2
nothing,31
notice,6
noticed,7
notions,1
now,133
nowadays,2
nowhere,1
nuclear,1
number,14
numbers,2
nurses,2
nursing,1
nurture,1
nuts,3
o,9
o'clock,2
o'gear,1
obesity,1
object,1
objection,1
obligated,1
obnoxious,2
obviously,12
occasion,1
occasionally,2
occasions,1
occupied,1
occurred,1
occurring,2
october,1
odd,1
odessa,1
of,1225
off,54
offenses,2
offer,3
offers,1
office,4
officer,1
official,4
often,11
oh,284
oil,20
ok,1
okay,92
old,39
older,9
oldest,5
olds,1
on,340
on-site,1
once,31
one,246
one-hundred,1
ones,23
onion,1
onions,3
only,53
ooh,1
open,9
opened,1
openly,1
opera,1
operas,1
operate,1
operation,1
opinion,7
opinionated,1
opinions,5
opponent,2
opportunity,7
